dataset,algorithm,original_bytes,compressed_bytes,compressed_percent,ratio,compress_mib_s,decompress_mib_s,compress_cpu_pct,decompress_cpu_pct,compress_cpu_ms_mib,decompress_cpu_ms_mib,compress_p95_us,decompress_p95_us
shell-512b,snappy-1,8192,3409,41.613770,2.403051,245.930275,328.187844,99.957710,99.994758,4.064474,3.046922,38.791000,1.750000
shell-512b,snappy-2,8192,3267,39.880371,2.507499,105.557744,306.250412,99.950318,99.950151,9.467192,3.258870,41.417000,1.750000
shell-512b,lz4-fast,8192,3282,40.063477,2.496039,124.400506,930.303723,99.971786,99.960574,8.036285,1.074570,4.958000,0.584000
shell-512b,lz4-hc9,8192,3272,39.941406,2.503667,12.253951,912.955519,99.973454,99.973314,81.584667,1.095051,41.417000,0.584000
shell-4k-output-json,none-copy,231560,231560,100.000000,1.000000,4639.942200,4830.000141,99.963441,99.965975,0.215441,0.206969,3.792000,4.958000
shell-4k-output-json,zstd-fast3,231560,20747,8.959665,11.161132,262.718417,651.019868,99.943948,99.971233,3.805872,1.535610,56.292000,23.625000
shell-4k-output-json,zstd-1,231560,12312,5.316980,18.807667,186.301228,469.745764,99.928443,99.969819,5.365691,2.128638,74.958000,31.209000
shell-4k-output-json,zstd-3,231560,12960,5.596822,17.867284,140.923064,453.126563,99.919009,99.990800,7.091080,2.206758,116.083000,33.250000
shell-4k-output-json,zstd-6,231560,11079,4.784505,20.900803,33.313015,494.803692,99.891275,99.967893,30.000154,2.019762,460.832000,30.041000
shell-4k-output-json,zstd-9,231560,11739,5.069528,19.725701,12.357255,511.025011,99.987782,99.968336,80.889211,1.955983,1288.287000,28.583000
shell-4k-output-json,snappy-1,231560,28771,12.424857,8.048382,145.955363,967.463846,99.234874,99.974246,6.793660,1.033574,102.666000,14.584000
shell-4k-output-json,snappy-2,231560,25555,11.036017,9.061240,115.774544,1099.903803,99.295914,99.965802,8.586758,0.908919,129.207000,13.125000
shell-4k-output-json,lz4-fast,231560,26683,11.523147,8.678185,482.946177,1121.703884,99.955391,99.969063,2.069700,0.891113,28.584000,13.708000
shell-4k-output-json,lz4-hc9,231560,18774,8.107618,12.334079,20.625587,1613.362450,99.960705,99.946470,48.477850,0.619480,737.914000,9.333000
shell-4k,none-copy,65536,65536,100.000000,1.000000,4285.717154,4480.150369,99.974863,99.970247,0.233126,0.223130,1.167000,1.167000
shell-4k,zstd-fast3,65536,13833,21.107483,4.737656,124.353084,308.706988,99.964802,99.968893,8.040770,3.236668,32.084000,13.417000
shell-4k,zstd-1,65536,8379,12.785339,7.821458,81.479881,206.693390,99.956404,99.968909,12.261503,4.836554,57.166000,21.000000
shell-4k,zstd-3,65536,8020,12.237549,8.171571,67.501749,205.340797,99.964067,99.963462,14.809108,4.869509,60.375000,21.000000
shell-4k,zstd-6,65536,7679,11.717224,8.534445,23.298019,207.465495,99.931325,99.969053,42.826667,4.818607,206.208000,20.124000
shell-4k,zstd-9,65536,7770,11.856079,8.434492,18.957049,210.821104,99.964090,99.958411,52.730378,4.740741,241.791000,19.833000
shell-4k,snappy-1,65536,14253,21.748352,4.598050,402.672684,582.784938,99.945896,99.976756,2.481757,1.715500,16.917000,7.292000
shell-4k,snappy-2,65536,14026,21.401978,4.672465,158.331121,578.159404,99.972243,99.965062,6.314125,1.729023,29.749000,7.292000
shell-4k,lz4-fast,65536,14214,21.688843,4.610666,235.127405,966.902771,99.948973,99.993055,4.249381,1.034158,17.791000,4.375000
shell-4k,lz4-hc9,65536,13210,20.156860,4.961090,29.939007,1079.651611,99.961595,99.962780,33.388414,0.925956,157.207000,4.083000
ansi-4k-output-json,none-copy,221380,221380,100.000000,1.000000,4742.603186,4758.053657,99.990277,99.958060,0.210834,0.209606,3.792000,3.792000
ansi-4k-output-json,zstd-fast3,221380,29629,13.383775,7.471734,190.100878,470.689438,99.988696,99.972971,5.259853,2.123969,89.833000,31.499000
ansi-4k-output-json,zstd-1,221380,17606,7.952841,12.574122,133.254461,339.274648,99.908802,99.966381,7.484397,2.946474,106.166000,43.750000
ansi-4k-output-json,zstd-3,221380,17202,7.770350,12.869434,104.838313,341.826564,99.957227,99.966109,9.535284,2.924598,136.500000,40.834000
ansi-4k-output-json,zstd-6,221380,16029,7.240491,13.811217,25.582030,382.856473,99.951221,99.960690,39.085739,2.609697,639.332000,37.333000
ansi-4k-output-json,zstd-9,221380,15360,6.938296,14.412760,9.449026,388.291520,99.988152,99.976931,105.820181,2.575175,3020.199000,35.875000
ansi-4k-output-json,snappy-1,221380,35055,15.834764,6.315219,123.875043,761.631137,99.320584,99.951884,8.028707,1.312457,121.041000,18.666000
ansi-4k-output-json,snappy-2,221380,30233,13.656609,7.322462,96.928868,883.480428,99.369053,99.958998,10.267596,1.130949,139.125000,15.750000
ansi-4k-output-json,lz4-fast,221380,41949,18.948866,5.277361,350.716043,736.842710,99.990491,99.948111,2.851038,1.355507,38.792000,18.958000
ansi-4k-output-json,lz4-hc9,221380,28700,12.964134,7.713589,12.503416,1089.604236,99.935640,99.970909,79.970007,0.917497,1222.663000,12.541000
ansi-4k,none-copy,65536,65536,100.000000,1.000000,4453.580464,4469.854526,99.956498,99.942297,0.224266,0.223704,1.167000,1.167000
ansi-4k,zstd-fast3,65536,20332,31.024170,3.223293,77.217328,200.629537,99.954671,99.963890,12.949369,4.982839,55.999000,20.125000
ansi-4k,zstd-1,65536,10833,16.529846,6.049663,58.437133,151.580746,99.989840,99.939266,17.107965,6.592493,82.833000,27.416000
ansi-4k,zstd-3,65536,10500,16.021729,6.241524,49.465562,154.327721,99.989415,99.971988,20.213833,6.479300,80.791000,27.124000
ansi-4k,zstd-6,65536,10807,16.490173,6.064218,17.133938,172.049938,99.970897,99.955871,58.348121,5.811867,249.374000,24.500000
ansi-4k,zstd-9,65536,10866,16.580200,6.031290,13.543761,166.162982,99.967450,99.966973,73.827556,6.016200,317.041000,25.083000
ansi-4k,snappy-1,65536,23513,35.877991,2.787224,274.382362,338.536583,99.991287,99.939255,3.643416,2.952012,16.916000,11.958000
ansi-4k,snappy-2,65536,23219,35.429382,2.822516,94.354294,351.723298,99.992746,99.968502,10.597626,2.842249,44.625000,11.667000
ansi-4k,lz4-fast,65536,23402,35.708618,2.800444,172.542521,541.604594,99.942227,99.948545,5.792723,1.845415,23.916000,7.875000
ansi-4k,lz4-hc9,65536,20219,30.851746,3.241308,24.139331,698.684664,99.938071,99.971424,41.392340,1.430796,180.833000,6.125000
history-256-ordinary,none-copy,327173,327173,100.000000,1.000000,4775.784675,4789.362879,99.890992,99.990138,0.208205,0.208780,6.125000,10.209000
history-256-ordinary,zstd-fast3,327173,70509,21.550984,4.640159,125.295520,282.985518,99.958675,99.885491,7.980270,3.523569,174.416000,71.458000
history-256-ordinary,zstd-1,327173,36233,11.074569,9.029697,95.429483,238.275897,99.921724,99.944268,10.468919,4.196141,210.875000,84.291000
history-256-ordinary,zstd-3,327173,43114,13.177738,7.588556,55.648864,231.186727,99.889706,99.962301,17.949999,4.313962,424.665000,86.334000
history-256-ordinary,zstd-6,327173,38427,11.745162,8.514144,17.617717,232.718264,99.915062,99.969379,56.742587,4.295726,1196.121000,85.458000
history-256-ordinary,zstd-9,327173,37376,11.423926,8.753558,9.360380,250.484911,99.906138,99.969428,106.780957,3.991967,2317.868000,84.291000
history-256-ordinary,snappy-1,327173,79564,24.318633,4.112073,262.352415,551.100428,99.957050,99.963767,3.811237,1.814389,81.374000,46.375000
history-256-ordinary,snappy-2,327173,78744,24.068001,4.154894,94.294757,569.863080,99.960721,99.964909,10.597062,1.754663,247.916000,35.584000
history-256-ordinary,lz4-fast,327173,91612,28.001088,3.571290,252.062856,566.102128,99.913378,99.970678,3.963953,1.766316,82.542000,35.875000
history-256-ordinary,lz4-hc9,327173,78879,24.109263,4.147783,11.160561,796.113678,99.958504,99.966051,89.563115,1.255453,2797.075000,26.833000
history-256-near96k,none-copy,1563498,1563498,100.000000,1.000000,2586.654870,2626.310332,99.943933,99.943872,0.386246,0.380318,62.709000,60.666000
history-256-near96k,zstd-fast3,1563498,294285,18.822218,5.312870,147.330082,319.047431,99.950130,99.929066,6.785557,3.134004,772.914000,331.624000
history-256-near96k,zstd-1,1563498,166778,10.666979,9.374726,99.351122,264.606857,99.953978,99.924448,10.036096,3.769001,1147.705000,394.915000
history-256-near96k,zstd-3,1563498,178283,11.402829,8.769754,60.047006,248.796169,99.887778,99.961810,16.641594,4.018881,2029.702000,416.790000
history-256-near96k,zstd-6,1563498,167163,10.691603,9.353134,19.244796,255.688033,99.882841,99.960190,51.901221,3.910543,5221.692000,372.166000
history-256-near96k,zstd-9,1563498,136845,8.752490,11.425321,10.790844,339.301358,99.946220,99.938563,92.656942,2.945479,9211.388000,315.290000
history-256-near96k,snappy-1,1563498,367667,23.515668,4.252484,209.621216,628.039966,99.777738,99.942102,4.759323,1.591333,516.540000,164.791000
history-256-near96k,snappy-2,1563498,366059,23.412822,4.271164,84.993149,633.713134,99.947631,99.959803,11.755237,1.577367,1289.455000,151.374000
history-256-near96k,lz4-fast,1563498,359599,22.999646,4.347893,219.235709,664.160528,99.984741,99.986956,4.560718,1.504423,477.165000,142.041000
history-256-near96k,lz4-hc9,1563498,344407,22.027978,4.539681,3.834611,755.763102,99.926827,99.929601,260.591811,1.321710,25420.130000,129.208000
repo-rust-16k,none-copy,1172390,1172390,100.000000,1.000000,2340.018487,2398.508773,99.944206,99.927451,0.427306,0.416865,8.459000,8.750000
repo-rust-16k,zstd-fast3,1172390,434419,37.054137,2.698754,77.125704,241.009049,99.985878,99.957538,12.964147,4.147146,229.249000,72.333000
repo-rust-16k,zstd-1,1172390,330195,28.164263,3.550599,51.680349,185.155304,99.956726,99.962351,19.332975,5.400322,394.916000,94.791000
repo-rust-16k,zstd-3,1172390,316090,26.961165,3.709039,39.223320,181.222718,99.956466,99.931573,25.475652,5.493018,512.456000,95.083000
repo-rust-16k,zstd-6,1172390,294142,25.089092,3.985796,14.195860,200.619851,99.963482,99.961538,70.412789,4.984102,1292.371000,92.167000
repo-rust-16k,zstd-9,1172390,292494,24.948524,4.008253,7.827044,203.716203,99.924310,99.889259,127.627000,4.891575,2241.743000,88.375000
repo-rust-16k,snappy-1,1172390,436289,37.213641,2.687187,92.835142,433.430844,99.121544,99.930401,10.666964,2.306951,179.083000,39.958000
repo-rust-16k,snappy-2,1172390,409863,34.959612,2.860444,53.937998,475.185326,99.430746,99.949470,18.418812,2.102235,345.624000,36.750000
repo-rust-16k,lz4-fast,1172390,463996,39.576933,2.526724,174.173890,501.722998,99.925890,99.991076,5.728702,1.992959,104.416000,33.541000
repo-rust-16k,lz4-hc9,1172390,389599,33.231177,3.009222,10.654694,621.225924,99.959344,99.781627,93.821264,1.606205,2093.285000,27.416000
repo-rust-96k,none-copy,1172390,1172390,100.000000,1.000000,2203.155623,2751.091034,99.942861,99.937473,0.453190,0.363241,51.333000,53.375000
