dataset,algorithm,original_bytes,compressed_bytes,compressed_percent,ratio,compress_mib_s,decompress_mib_s,compress_cpu_pct,decompress_cpu_pct,compress_cpu_ms_mib,decompress_cpu_ms_mib,compress_p95_us,decompress_p95_us
pseudorandom-4k,snappy-1,65536,65616,100.122070,0.998781,12092.803033,52022.206130,99.901234,99.913270,0.082671,0.019185,0.361000,0.100000
pseudorandom-4k,snappy-2,65536,65616,100.122070,0.998781,1985.604034,52366.995924,99.913919,99.891169,0.503029,0.019062,2.003000,0.101000
pseudorandom-4k,lz4-fast,65536,65824,100.439453,0.995625,5103.735741,69439.179587,99.902398,99.895541,0.195744,0.014388,0.801000,0.090000
pseudorandom-4k,lz4-hc9,65536,65824,100.439453,0.995625,305.437283,72610.339383,99.935176,99.821397,3.268906,0.013677,13.279000,0.090000
pseudorandom-96k,none-copy,1572864,1572864,100.000000,1.000000,81324.419208,81697.351606,99.811787,99.898445,0.012273,0.012205,1.782000,1.532000
pseudorandom-96k,zstd-fast3,1572864,1573056,100.012207,0.999878,23477.513998,79256.640823,99.906295,99.861966,0.042550,0.012599,4.766000,1.522000
pseudorandom-96k,zstd-1,1572864,1573056,100.012207,0.999878,14747.357871,79765.368635,99.909724,99.924159,0.067751,0.012527,7.070000,1.753000
pseudorandom-96k,zstd-3,1572864,1573056,100.012207,0.999878,10903.963568,78445.462328,99.876455,99.824036,0.091695,0.012725,9.022000,1.592000
pseudorandom-96k,zstd-6,1572864,1573056,100.012207,0.999878,5120.220496,78668.693892,99.911078,99.893382,0.194879,0.012704,18.576000,1.572000
pseudorandom-96k,zstd-9,1572864,1573056,100.012207,0.999878,4771.005087,79197.541576,99.819570,99.917026,0.209509,0.012616,21.660000,1.482000
pseudorandom-96k,snappy-1,1572864,1573008,100.009155,0.999908,5537.596572,76729.061411,99.875500,99.924257,0.180250,0.013029,16.994000,1.482000
pseudorandom-96k,snappy-2,1572864,1573008,100.009155,0.999908,2911.868901,77208.180364,99.906679,99.857444,0.343268,0.012934,33.246000,1.533000
pseudorandom-96k,lz4-fast,1572864,1579056,100.393677,0.996079,25382.159446,73269.886629,99.877050,99.880021,0.039365,0.013632,4.887000,1.592000
pseudorandom-96k,lz4-hc9,1572864,1579044,100.392914,0.996086,76.493547,65204.256695,99.888066,99.869708,13.056980,0.015312,1251.043000,2.043000
repo-png-16k,none-copy,1061714,1061714,100.000000,1.000000,82963.965702,82557.213035,99.852363,99.898104,0.012036,0.012102,0.451000,0.391000
repo-png-16k,zstd-fast3,1061714,1049614,98.860333,1.011528,10639.649877,60423.787465,99.860045,99.889111,0.093688,0.016524,1.572000,0.631000
repo-png-16k,zstd-1,1061714,1048765,98.780368,1.012347,2864.751604,45493.551082,99.887239,99.862579,0.342485,0.021962,5.177000,0.571000
repo-png-16k,zstd-3,1061714,1048651,98.769631,1.012457,2376.620190,45311.597449,99.903391,99.942429,0.420574,0.022056,6.389000,0.621000
repo-png-16k,zstd-6,1061714,1048556,98.760683,1.012549,1282.982044,46201.397276,99.952862,99.914947,0.779070,0.021627,17.174000,0.671000
repo-png-16k,zstd-9,1061714,1048557,98.760777,1.012548,509.231799,44243.366487,99.918252,99.931911,1.959436,0.022587,42.368000,0.651000
repo-png-16k,snappy-1,1061714,1049898,98.887083,1.011254,1663.040024,57511.821026,99.907575,99.893430,0.600683,0.017367,9.263000,0.511000
repo-png-16k,snappy-2,1061714,1049469,98.846676,1.011668,1156.848549,57720.530865,99.908735,99.886147,0.863628,0.017312,14.821000,0.701000
repo-png-16k,lz4-fast,1061714,1053034,99.182454,1.008243,9712.936929,67981.730477,99.955515,99.921225,0.102583,0.014695,1.793000,0.581000
repo-png-16k,lz4-hc9,1061714,1052747,99.155422,1.008518,180.257329,63752.201113,99.838918,99.902117,5.542405,0.015670,94.429000,0.891000
