dataset,algorithm,original_bytes,compressed_bytes,compressed_percent,ratio,compress_mib_s,decompress_mib_s,compress_cpu_pct,decompress_cpu_pct,compress_cpu_ms_mib,decompress_cpu_ms_mib,compress_p95_us,decompress_p95_us
shell-512b,lz4-fast,8192,3282,40.063477,2.496039,1458.207757,10775.637580,99.987257,99.967919,0.684663,0.092748,0.417000,0.042000
shell-512b,lz4-hc9,8192,3272,39.941406,2.503667,137.958369,10704.029648,99.962155,99.985695,7.244498,0.093394,4.500000,0.042000
shell-4k-output-json,none-copy,231560,231560,100.000000,1.000000,68522.483428,71335.954329,99.938683,99.919793,0.014572,0.014010,0.250000,0.209000
shell-4k-output-json,zstd-fast3,231560,20747,8.959665,11.161132,2796.243562,7110.283684,99.881399,99.902369,0.357595,0.140441,6.625000,2.458000
shell-4k-output-json,zstd-1,231560,12312,5.316980,18.807667,1879.147812,4366.314475,99.901366,99.974865,0.531876,0.228865,9.333000,4.167000
shell-4k-output-json,zstd-3,231560,12960,5.596822,17.867284,1850.644068,4336.437271,99.983407,99.949415,0.540304,0.230324,9.625000,4.084000
shell-4k-output-json,zstd-6,231560,11079,4.784505,20.900803,555.600748,4630.576984,99.926117,99.951667,1.798940,0.215475,31.166000,3.791000
shell-4k-output-json,zstd-9,231560,11739,5.069528,19.725701,106.962286,4323.453792,99.948862,99.985418,9.344309,0.231263,153.375000,3.292000
shell-4k-output-json,snappy-1,231560,28771,12.424857,8.048382,4173.098755,9929.150158,99.905357,99.927398,0.239546,0.100636,3.833000,1.500000
shell-4k-output-json,snappy-2,231560,25555,11.036017,9.061240,3737.189419,11412.350713,99.923023,99.867131,0.267518,0.087323,4.375000,1.417000
shell-4k-output-json,lz4-fast,231560,26683,11.523147,8.678185,3250.771148,14473.579459,99.940941,99.953265,0.307253,0.068999,5.084000,1.084000
shell-4k-output-json,lz4-hc9,231560,18774,8.107618,12.334079,301.198756,25057.189971,99.967345,99.947259,3.315433,0.039888,47.500000,0.625000
shell-4k,none-copy,65536,65536,100.000000,1.000000,84990.611279,91770.781466,99.956910,99.956320,0.011755,0.010896,0.083000,0.084000
shell-4k,zstd-fast3,65536,13833,21.107483,4.737656,1290.379021,3103.151269,99.967854,99.984898,0.774896,0.322204,4.042000,1.375000
shell-4k,zstd-1,65536,8379,12.785339,7.821458,782.480494,1710.594797,99.968634,99.973514,1.277882,0.583895,5.333000,2.375000
shell-4k,zstd-3,65536,8020,12.237549,8.171571,800.260469,1676.126009,99.950374,99.964624,1.249530,0.595827,6.083000,2.458000
shell-4k,zstd-6,65536,7679,11.717224,8.534445,325.743408,1724.406727,99.907441,99.927577,3.063463,0.579431,15.000000,2.833000
shell-4k,zstd-9,65536,7770,11.856079,8.434492,230.139754,1709.658376,99.944088,99.828668,4.340226,0.572628,21.958000,2.542000
shell-4k,snappy-1,65536,14253,21.748352,4.598050,3491.247222,5826.765677,99.838621,99.962294,0.286403,0.171610,1.333000,0.750000
