dataset,algorithm,original_bytes,compressed_bytes,compressed_percent,ratio,compress_mib_s,decompress_mib_s,compress_cpu_pct,decompress_cpu_pct,compress_cpu_ms_mib,decompress_cpu_ms_mib,compress_p95_us,decompress_p95_us
input-64b,none-copy,1024,1024,100.000000,1.000000,2785.060073,2974.382425,99.610727,99.415282,0.357661,0.335044,0.051000,0.041000
input-64b,zstd-fast3,1024,1168,114.062500,0.876712,164.927891,1155.309360,99.456460,99.652003,6.028022,0.861335,0.351000,0.120000
input-64b,zstd-1,1024,1160,113.281250,0.882759,41.975382,453.447876,99.488763,99.685939,23.727752,2.198399,2.305000,1.232000
input-64b,zstd-3,1024,1168,114.062500,0.876712,40.766191,1144.441869,99.614167,99.657543,24.438828,0.872351,2.294000,0.081000
input-64b,zstd-6,1024,1168,114.062500,0.876712,32.613251,1167.094191,99.384757,99.355345,30.378327,0.855232,2.796000,0.080000
input-64b,zstd-9,1024,1168,114.062500,0.876712,28.367397,1128.051771,99.610483,99.525219,35.120734,0.883457,3.487000,0.080000
input-64b,snappy-1,1024,1040,101.562500,0.984615,267.957527,734.754944,99.180365,99.625064,3.689205,1.355895,0.351000,0.111000
input-64b,snappy-2,1024,1027,100.292969,0.997079,214.695677,748.629068,99.192151,99.635284,4.619333,1.327950,0.431000,0.110000
input-64b,lz4-fast,1024,1032,100.781250,0.992248,195.387658,1858.446731,99.713528,99.704613,5.105674,0.536494,0.541000,0.061000
input-64b,lz4-hc9,1024,1032,100.781250,0.992248,16.952258,1875.761663,99.674100,99.497420,58.796947,0.525967,5.260000,0.061000
shell-512b,none-copy,8192,8192,100.000000,1.000000,14703.462616,15377.523483,99.314983,99.611791,0.067445,0.064799,0.061000,0.070000
shell-512b,zstd-fast3,8192,4557,55.627441,1.797674,267.610144,1922.733895,99.666718,99.525539,3.732194,0.517625,2.755000,0.281000
shell-512b,zstd-1,8192,2775,33.874512,2.952072,118.469909,270.023357,99.559002,99.559224,8.406035,3.687060,6.002000,2.344000
shell-512b,zstd-3,8192,2737,33.410645,2.993058,113.224122,272.274091,99.638058,99.460265,8.800073,3.661675,6.422000,2.244000
shell-512b,zstd-6,8192,2654,32.397461,3.086662,73.310516,242.821098,99.587523,99.569727,13.558468,4.108916,9.688000,2.595000
shell-512b,zstd-9,8192,2654,32.397461,3.086662,62.159237,238.866247,99.564118,99.680030,16.007067,4.172235,11.922000,2.714000
shell-512b,snappy-1,8192,3409,41.613770,2.403051,1208.604781,760.317920,99.707093,99.471248,0.825251,1.303107,9.367000,0.751000
shell-512b,snappy-2,8192,3267,39.880371,2.507499,680.169065,642.505799,99.613398,99.546121,1.462407,1.549342,9.357000,1.122000
shell-512b,lz4-fast,8192,3282,40.063477,2.496039,765.821374,5148.732862,99.449995,99.406480,1.293150,0.193070,0.962000,0.121000
shell-512b,lz4-hc9,8192,3272,39.941406,2.503667,98.103031,5217.628661,99.646989,99.597597,10.166011,0.189232,7.344000,0.191000
shell-4k-output-json,none-copy,231560,231560,100.000000,1.000000,50699.251327,38376.171640,99.632969,99.603986,0.019661,0.025955,0.431000,0.281000
shell-4k-output-json,zstd-fast3,231560,20747,8.959665,11.161132,1364.567436,3455.014932,99.585230,99.635287,0.730482,0.288367,15.640000,6.061000
shell-4k-output-json,zstd-1,231560,12312,5.316980,18.807667,1013.775099,2334.085970,99.519926,99.576563,0.981912,0.426939,19.818000,8.286000
shell-4k-output-json,zstd-3,231560,12960,5.596822,17.867284,891.081626,2298.773984,99.616111,99.674241,1.117924,0.434518,23.114000,8.907000
shell-4k-output-json,zstd-6,231560,11079,4.784505,20.900803,218.519727,2461.346810,99.632891,99.585574,4.559446,0.404598,82.695000,8.115000
shell-4k-output-json,zstd-9,231560,11739,5.069528,19.725701,52.726244,2549.484566,99.568053,99.629483,18.875378,0.389588,319.902000,5.520000
shell-4k-output-json,snappy-1,231560,28771,12.424857,8.048382,396.395951,3712.762028,99.160221,99.533778,2.497056,0.268175,51.477000,5.961000
shell-4k-output-json,snappy-2,231560,25555,11.036017,9.061240,378.891852,4185.877173,99.024054,99.532201,2.613518,0.238490,68.097000,5.330000
shell-4k-output-json,lz4-fast,231560,26683,11.523147,8.678185,2380.439415,7522.333314,99.626989,99.729241,0.418687,0.132578,6.513000,2.474000
shell-4k-output-json,lz4-hc9,231560,18774,8.107618,12.334079,135.814277,11401.773597,99.704384,99.624094,7.330726,0.087408,138.259000,1.263000
shell-4k,none-copy,65536,65536,100.000000,1.000000,45928.304222,49396.324686,99.615037,99.615303,0.021689,0.020079,0.151000,0.121000
shell-4k,zstd-fast3,65536,13833,21.107483,4.737656,587.072122,1570.656870,99.611566,99.633034,1.696752,0.634828,9.077000,3.466000
shell-4k,zstd-1,65536,8379,12.785339,7.821458,422.189784,949.730830,99.626703,99.511370,2.359201,1.050868,9.618000,4.038000
shell-4k,zstd-3,65536,8020,12.237549,8.171571,380.071042,941.504853,99.614017,99.683059,2.620932,1.059274,14.138000,4.328000
shell-4k,zstd-6,65536,7679,11.717224,8.534445,140.299716,947.730911,99.624854,99.387822,7.100859,1.048818,41.146000,5.991000
shell-4k,zstd-9,65536,7770,11.856079,8.434492,107.732928,964.265680,99.752989,99.577197,9.259285,1.032674,58.621000,5.872000
shell-4k,snappy-1,65536,14253,21.748352,4.598050,1994.799770,2153.342427,99.661491,99.634259,0.499304,0.462975,3.146000,2.825000
shell-4k,snappy-2,65536,14026,21.401978,4.672465,1152.825227,2146.956924,99.654290,99.628063,0.865243,0.464733,5.010000,3.126000
shell-4k,lz4-fast,65536,14214,21.688843,4.610666,1541.608150,6174.141750,99.543529,99.681342,0.645838,0.161116,2.655000,0.662000
shell-4k,lz4-hc9,65536,13210,20.156860,4.961090,218.256368,6971.504465,99.664093,99.696135,4.576000,0.143061,25.418000,0.562000
ansi-4k-output-json,none-copy,221380,221380,100.000000,1.000000,51313.652483,53853.757771,99.654627,99.513566,0.019421,0.018469,0.321000,0.370000
ansi-4k-output-json,zstd-fast3,221380,29629,13.383775,7.471734,950.295745,2360.482636,99.561021,99.501532,1.048773,0.422866,20.368000,8.846000
ansi-4k-output-json,zstd-1,221380,17606,7.952841,12.574122,699.179725,1618.860012,99.644500,99.528496,1.425871,0.614806,28.154000,11.471000
